recv[657] = 0.513388, hard = 1
recv[658] = -0.364124, hard = 0
recv[659] = -0.593495, hard = 0
recv[660] = 1.201560, hard = 1
recv[661] = 0.399747, hard = 1
recv[662] = -1.042037, hard = 0
recv[663] = -2.264371, hard = 0
recv[664] = -0.625622, hard = 0
recv[665] = 1.297049, hard = 1
recv[666] = 1.633366, hard = 1
recv[667] = 0.774325, hard = 1
recv[668] = -1.167472, hard = 0
recv[669] = 1.961668, hard = 1
recv[670] = 1.550302, hard = 1
recv[671] = -1.357847, hard = 0
recv[672] = -1.523507, hard = 0
recv[673] = -0.712887, hard = 0
recv[674] = -1.397028, hard = 0
recv[675] = 0.474723, hard = 1
recv[676] = 1.068713, hard = 1
recv[677] = 0.852660, hard = 1
recv[678] = -0.909580, hard = 0
recv[679] = 0.334469, hard = 1
recv[680] = -1.398701, hard = 0
recv[681] = 2.040472, hard = 1
recv[682] = 1.245639, hard = 1
recv[683] = -1.074868, hard = 0
recv[684] = -1.091254, hard = 0
recv[685] = -0.278018, hard = 0
recv[686] = 0.680306, hard = 1
recv[687] = 0.365536, hard = 1
recv[688] = -0.815873, hard = 0
recv[689] = -1.721405, hard = 0
recv[690] = 0.393428, hard = 1
recv[691] = -1.753236, hard = 0
recv[692] = -1.101717, hard = 0
recv[693] = 0.157162, hard = 1
recv[694] = -1.251504, hard = 0
recv[695] = 0.635722, hard = 1
recv[696] = 0.503124, hard = 1
recv[697] = 1.232639, hard = 1
recv[698] = 1.096216, hard = 1
recv[699] = -0.892990, hard = 0
recv[700] = -2.133555, hard = 0
recv[701] = -1.313761, hard = 0
recv[702] = -0.116967, hard = 0
recv[703] = -0.875681, hard = 0
recv[704] = 1.741065, hard = 1
recv[705] = 1.353424, hard = 1
recv[706] = -0.249134, hard = 0
recv[707] = 1.379919, hard = 1
recv[708] = 1.816081, hard = 1
recv[709] = 1.721871, hard = 1
recv[710] = -1.468033, hard = 0
recv[711] = -2.570899, hard = 0
recv[712] = 1.351939, hard = 1
recv[713] = 0.398359, hard = 1
recv[714] = -0.821332, hard = 0
recv[715] = 0.737494, hard = 1
recv[716] = 0.547011, hard = 1
recv[717] = -0.399084, hard = 0
recv[718] = -1.256739, hard = 0
recv[719] = -0.650209, hard = 0
recv[720] = -0.653247, hard = 0
recv[721] = -0.812707, hard = 0
recv[722] = -0.099452, hard = 0
recv[723] = -0.722954, hard = 0
recv[724] = 1.315326, hard = 1
recv[725] = -0.490009, hard = 0
recv[726] = -0.136822, hard = 0
recv[727] = 0.070109, hard = 1
recv[728] = 0.316302, hard = 1
recv[729] = -1.923966, hard = 0
recv[730] = -0.784005, hard = 0
recv[731] = 1.626099, hard = 1
recv[732] = 0.332636, hard = 1
recv[733] = 0.672978, hard = 1
recv[734] = -1.322450, hard = 0
recv[735] = -1.147869, hard = 0
recv[736] = -0.512619, hard = 0
recv[737] = 0.494142, hard = 1
recv[738] = -2.290879, hard = 0
recv[739] = -1.472960, hard = 0
recv[740] = 0.679308, hard = 1
recv[741] = 0.615040, hard = 1
recv[742] = 0.802952, hard = 1
recv[743] = -2.002492, hard = 0
recv[744] = 1.752315, hard = 1
recv[745] = -0.897667, hard = 0
recv[746] = 0.296657, hard = 1
recv[747] = -0.550035, hard = 0
recv[748] = -0.314647, hard = 0
recv[749] = -0.797411, hard = 0
recv[750] = 0.683288, hard = 1
recv[751] = -0.796573, hard = 0
recv[752] = 2.177395, hard = 1
recv[753] = -0.127377, hard = 0
recv[754] = -0.277507, hard = 0
recv[755] = -0.846228, hard = 0
recv[756] = -1.554624, hard = 0
recv[757] = 0.144580, hard = 1
recv[758] = -2.183707, hard = 0
recv[759] = 2.010471, hard = 1
recv[760] = -1.924043, hard = 0
recv[761] = -1.955625, hard = 0
recv[762] = -0.108771, hard = 0
recv[763] = 0.579556, hard = 1
recv[764] = -2.323591, hard = 0
recv[765] = -0.359468, hard = 0
recv[766] = -0.973157, hard = 0
recv[767] = 1.007859, hard = 1
recv[768] = -0.365047, hard = 0
recv[769] = -2.126424, hard = 0
recv[770] = 0.040200, hard = 1
recv[771] = 0.865537, hard = 1
recv[772] = -0.364253, hard = 0
recv[773] = -0.506994, hard = 0
recv[774] = -0.799127, hard = 0
recv[775] = 0.572649, hard = 1
recv[776] = 0.141311, hard = 1
