recv[538] = -2.724259, hard = 0
recv[539] = 0.807890, hard = 1
recv[540] = -1.358323, hard = 0
recv[541] = 0.549884, hard = 1
recv[542] = -0.175005, hard = 0
recv[543] = 0.973700, hard = 1
recv[544] = -0.930473, hard = 0
recv[545] = -1.308491, hard = 0
recv[546] = 1.649621, hard = 1
recv[547] = -0.721221, hard = 0
recv[548] = 1.427603, hard = 1
recv[549] = 1.497356, hard = 1
recv[550] = -0.392505, hard = 0
recv[551] = -2.395013, hard = 0
recv[552] = 0.181018, hard = 1
recv[553] = -2.105102, hard = 0
recv[554] = -0.043373, hard = 0
recv[555] = -0.790311, hard = 0
recv[556] = -1.854279, hard = 0
recv[557] = 1.958592, hard = 1
recv[558] = 0.343819, hard = 1
recv[559] = 1.201717, hard = 1
recv[560] = 1.842025, hard = 1
recv[561] = -0.861982, hard = 0
recv[562] = 0.873398, hard = 1
recv[563] = 2.058592, hard = 1
recv[564] = -0.713675, hard = 0
recv[565] = 0.115718, hard = 1
recv[566] = 0.963305, hard = 1
recv[567] = 1.525970, hard = 1
recv[568] = 1.350340, hard = 1
recv[569] = -0.222133, hard = 0
recv[570] = 1.869497, hard = 1
recv[571] = 2.846395, hard = 1
recv[572] = -0.958028, hard = 0
recv[573] = -1.256073, hard = 0
recv[574] = -1.182045, hard = 0
recv[575] = 0.266751, hard = 1
recv[576] = -1.518316, hard = 0
recv[577] = 0.294988, hard = 1
recv[578] = 1.093499, hard = 1
recv[579] = -0.800448, hard = 0
recv[580] = -1.248346, hard = 0
recv[581] = 0.913529, hard = 1
recv[582] = 1.188321, hard = 1
recv[583] = 0.529847, hard = 1
recv[584] = -0.120016, hard = 0
recv[585] = -0.738876, hard = 0
recv[586] = -1.330508, hard = 0
recv[587] = 1.320008, hard = 1
recv[588] = 0.198340, hard = 1
recv[589] = -0.805698, hard = 0
recv[590] = 0.336218, hard = 1
recv[591] = 0.326965, hard = 1
recv[592] = 0.396666, hard = 1
recv[593] = 0.469817, hard = 1
recv[594] = -0.639533, hard = 0
recv[595] = -0.919192, hard = 0
recv[596] = 0.153277, hard = 1
recv[597] = -0.722774, hard = 0
recv[598] = -1.715523, hard = 0
recv[599] = 0.046806, hard = 1
recv[600] = 1.165469, hard = 1
recv[601] = -2.613219, hard = 0
recv[602] = -0.195636, hard = 0
recv[603] = 0.426149, hard = 1
recv[604] = 1.234977, hard = 1
recv[605] = 0.563166, hard = 1
recv[606] = -0.390322, hard = 0
recv[607] = -2.069447, hard = 0
recv[608] = 0.439905, hard = 1
recv[609] = 1.194920, hard = 1
recv[610] = 1.195087, hard = 1
recv[611] = -0.320533, hard = 0
recv[612] = -2.675799, hard = 0
recv[613] = 1.130827, hard = 1
recv[614] = -0.583981, hard = 0
recv[615] = 1.537910, hard = 1
recv[616] = -1.260230, hard = 0
recv[617] = 1.404376, hard = 1
recv[618] = -1.055835, hard = 0
recv[619] = 0.293615, hard = 1
recv[620] = -1.232855, hard = 0
recv[621] = 1.777763, hard = 1
recv[622] = 0.105812, hard = 1
recv[623] = 0.355739, hard = 1
recv[624] = -0.421741, hard = 0
recv[625] = -2.236025, hard = 0
recv[626] = 1.124688, hard = 1
recv[627] = 0.640691, hard = 1
recv[628] = 1.450986, hard = 1
recv[629] = 1.562931, hard = 1
recv[630] = 1.412387, hard = 1
recv[631] = -0.571098, hard = 0
recv[632] = 1.104629, hard = 1
recv[633] = 0.303153, hard = 1
recv[634] = -0.753547, hard = 0
recv[635] = -2.116190, hard = 0
recv[636] = 0.641012, hard = 1
recv[637] = 1.049072, hard = 1
recv[638] = -1.135085, hard = 0
recv[639] = -0.027500, hard = 0
recv[640] = 0.154528, hard = 1
recv[641] = -0.980759, hard = 0
recv[642] = -1.236077, hard = 0
recv[643] = -1.682734, hard = 0
recv[644] = -0.578524, hard = 0
recv[645] = -1.327139, hard = 0
recv[646] = 1.240999, hard = 1
recv[647] = 0.514951, hard = 1
recv[648] = 0.285818, hard = 1
recv[649] = -0.180705, hard = 0
recv[650] = -0.690861, hard = 0
recv[651] = 0.034968, hard = 1
recv[652] = -0.611826, hard = 0
recv[653] = -0.776738, hard = 0
recv[654] = -0.246815, hard = 0
recv[655] = -1.155430, hard = 0
recv[656] = -1.035530, hard = 0
recv[657] = -1.371900, hard = 0
recv[658] = 0.484304, hard = 1
recv[659] = 0.902362, hard = 1
recv[660] = 0.196755, hard = 1
recv[661] = -2.342338, hard = 0
recv[662] = -0.012068, hard = 0
recv[663] = -1.589290, hard = 0
recv[664] = -0.392172, hard = 0
recv[665] = -2.210162, hard = 0
recv[666] = -1.639519, hard = 0
recv[667] = 0.373462, hard = 1
recv[668] = 0.869942, hard = 1
recv[669] = -0.793394, hard = 0
recv[670] = -1.739181, hard = 0
recv[671] = 0.470939, hard = 1
recv[672] = 0.055879, hard = 1
recv[673] = -1.069603, hard = 0
recv[674] = 1.097430, hard = 1
recv[675] = -1.229357, hard = 0
recv[676] = 0.621430, hard = 1
recv[677] = 1.889634, hard = 1
recv[678] = -0.700302, hard = 0
recv[679] = -0.176534, hard = 0
recv[680] = 1.080525, hard = 1
recv[681] = 0.251636, hard = 1
recv[682] = 0.161651, hard = 1
recv[683] = 0.065829, hard = 1
recv[684] = 1.383222, hard = 1
recv[685] = -1.732997, hard = 0
recv[686] = -2.622418, hard = 0
recv[687] = 1.219718, hard = 1
recv[688] = 1.285932, hard = 1
recv[689] = 1.185062, hard = 1
